gcf_id	group	subgroup	genus	species_strain
GCF_000008485.1_ASM848v1	Proteobacteria	Gammaproteobacteria	Legionella	pneumophila_subsp._pneumophila_str._Philadelphia_1
GCF_000008505.1_ASM850v1	Terrabacteria group	Firmicutes	[Bacillus	thuringiensis]_serovar_konkukian_str._97-27
GCF_000008525.1_ASM852v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	pylori_26695
GCF_000008545.1_ASM854v1	Thermotogae	Thermotogae	Thermotoga	maritima_MSB8
GCF_000008565.1_ASM856v1	Terrabacteria group	Deinococcus-Thermus	Deinococcus	radiodurans_R1
GCF_000008585.1_ASM858v1	Terrabacteria group	Actinobacteria	Mycobacterium	tuberculosis_CDC1551
GCF_000008625.1_ASM862v1	Aquificae	Aquificae	Aquifex	aeolicus_VF5
GCF_000008685.2_ASM868v2	Spirochaetes	Spirochaetia	Borreliella	burgdorferi_B31
GCF_000008725.1_ASM872v1	PVC group	Chlamydiae	Chlamydia	trachomatis_D/UW-3/CX
GCF_000008745.1_ASM874v1	PVC group	Chlamydiae	Chlamydia	pneumoniae_CWL029
GCF_000008765.1_ASM876v1	Terrabacteria group	Firmicutes	Clostridium	acetobutylicum_ATCC_824
GCF_000008785.1_ASM878v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	pylori_J99
GCF_000008805.1_ASM880v1	Proteobacteria	Betaproteobacteria	Neisseria	meningitidis_MC58
GCF_000008865.2_ASM886v2	Proteobacteria	Gammaproteobacteria	Escherichia	coli_O157:H7_str._Sakai
GCF_000008885.1_ASM888v1	Proteobacteria	Gammaproteobacteria	Wigglesworthia	glossinidia_endosymbiont_of_Glossina_brevipalpis
GCF_000008925.1_ASM892v1	Terrabacteria group	Firmicutes	Lactobacillus	salivarius_UCC118
GCF_000008945.1_ASM894v1	Terrabacteria group	Actinobacteria	Bifidobacterium	longum_DJO10A
GCF_000008985.1_ASM898v1	Proteobacteria	Gammaproteobacteria	Francisella	tularensis_subsp._tularensis_SCHU_S4
GCF_000009005.1_ASM900v1	Terrabacteria group	Firmicutes	Staphylococcus	aureus_RF122
GCF_000009025.1_ASM902v1	Terrabacteria group	Chloroflexi	Dehalococcoides	mccartyi_CBDB1
GCF_000009045.1_ASM904v1	Terrabacteria group	Firmicutes	Bacillus	subtilis_subsp._subtilis_str._168
GCF_000009065.1_ASM906v1	Proteobacteria	Gammaproteobacteria	Yersinia	pestis_CO92
GCF_000009085.1_ASM908v1	Proteobacteria	delta/epsilon subdivisions	Campylobacter	jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819
GCF_000009105.1_ASM910v1	Proteobacteria	Betaproteobacteria	Neisseria	meningitidis_Z2491
GCF_000009125.1_ASM912v1	Proteobacteria	Betaproteobacteria	Ralstonia	solanacearum_GMI1000
GCF_000009145.1_ASM914v1	Proteobacteria	Betaproteobacteria	Nitrosomonas	europaea_ATCC_19718
GCF_000009165.1_ASM916v1	Proteobacteria	Gammaproteobacteria	Xanthomonas	campestris_pv._vesicatoria_str._85-10
GCF_000009205.2_ASM920v2	Terrabacteria group	Firmicutes	Clostridioides	difficile_630
GCF_000009225.2_ASM922v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	fluorescens_SBW25
GCF_000009245.1_ASM924v1	Proteobacteria	Gammaproteobacteria	Francisella	tularensis_subsp._holarctica_LVS
GCF_000009265.1_ASM926v1	Proteobacteria	Alphaproteobacteria	Rhizobium	leguminosarum_bv._viciae_3841
GCF_000009285.1_ASM928v2	Proteobacteria	Betaproteobacteria	Cupriavidus	necator_H16
GCF_000009305.1_ASM930v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	acinonychis_str._Sheeba
GCF_000009325.1_ASM932v1	Proteobacteria	Gammaproteobacteria	Francisella	tularensis_subsp._tularensis_FSC198
GCF_000009345.1_ASM934v1	Proteobacteria	Gammaproteobacteria	Yersinia	enterocolitica_subsp._enterocolitica_8081
GCF_000009365.1_ASM936v1	Proteobacteria	Gammaproteobacteria	Alcanivorax	borkumensis_SK2
GCF_000009385.1_ASM938v1	Terrabacteria group	Firmicutes	Streptococcus	pyogenes_str._Manfredo
GCF_000009405.1_ASM940v1	Terrabacteria group	Firmicutes	Staphylococcus	carnosus_subsp._carnosus_TM300
GCF_000009425.1_ASM942v1	Terrabacteria group	Firmicutes	Lactococcus	lactis_subsp._cremoris_MG1363
GCF_000009445.1_ASM944v1	Terrabacteria group	Actinobacteria	Mycobacterium	tuberculosis_variant_bovis_BCG_str._Pasteur_1173P2
GCF_000009465.1_ASM946v1	Proteobacteria	Betaproteobacteria	Neisseria	meningitidis_FAM18
GCF_000009485.1_ASM948v1	Proteobacteria	Betaproteobacteria	Burkholderia	cenocepacia_J2315
GCF_000009505.1_ASM950v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Enteritidis_str._P125109
GCF_000009525.1_ASM952v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Gallinarum_str._287/91
GCF_000009545.1_ASM954v1	Terrabacteria group	Firmicutes	Streptococcus	uberis_0140J
GCF_000009565.1_ASM956v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli_BL21(DE3)
GCF_000009585.1_ASM958v1	Terrabacteria group	Firmicutes	Staphylococcus	aureus_subsp._aureus_ST398
GCF_000009605.1_ASM960v1	Proteobacteria	Gammaproteobacteria	Buchnera	aphidicola_str._APS_(Acyrthosiphon_pisum)
GCF_000009625.1_ASM962v1	Proteobacteria	Alphaproteobacteria	Mesorhizobium	japonicum_MAFF_303099
GCF_000009645.1_ASM964v1	Terrabacteria group	Firmicutes	Staphylococcus	aureus_subsp._aureus_N315
GCF_000009665.1_ASM966v1	Terrabacteria group	Firmicutes	Staphylococcus	aureus_subsp._aureus_Mu50
GCF_000009685.1_ASM968v1	Terrabacteria group	Firmicutes	Clostridium	perfringens_str._13
GCF_000009705.1_ASM970v1	Terrabacteria group	Cyanobacteria/Melainabacteria group	Nostoc	sp._PCC_7120_=_FACHB-418
GCF_000009725.1_ASM972v1	Terrabacteria group	Cyanobacteria/Melainabacteria group	Synechocystis	sp._PCC_6803
GCF_000009745.1_ASM974v1	Proteobacteria	Gammaproteobacteria	Vibrio	vulnificus_YJ016
GCF_000009765.2_ASM976v2	Terrabacteria group	Actinobacteria	Streptomyces	avermitilis_MA-4680_=_NBRC_14893
GCF_000009785.1_ASM978v1	Terrabacteria group	Firmicutes	Geobacillus	kaustophilus_HTA426
GCF_000009805.1_ASM980v1	Terrabacteria group	Actinobacteria	Nocardia	farcinica_IFM_10152
GCF_000009825.1_ASM982v1	Terrabacteria group	Firmicutes	Bacillus	clausii_KSM-K16
GCF_000009865.1_ASM986v1	Terrabacteria group	Firmicutes	Staphylococcus	haemolyticus_JCSC1435
GCF_000009885.1_ASM988v1	Proteobacteria	Gammaproteobacteria	Klebsiella	pneumoniae_subsp._pneumoniae_NTUH-K2044
GCF_000009905.1_ASM990v1	Terrabacteria group	Firmicutes	Symbiobacterium	thermophilum_IAM_14863
GCF_000009925.1_ASM992v1	FCB group	Bacteroidetes/Chlorobi group	Bacteroides	fragilis_YCH46
GCF_000009945.1_ASM994v1	PVC group	Chlamydiae	Chlamydia	felis_Fe/C-56
GCF_000009985.1_ASM998v1	Proteobacteria	Alphaproteobacteria	Magnetospirillum	magneticum_AMB-1
GCF_000010005.1_ASM1000v1	Terrabacteria group	Firmicutes	Lactobacillus	reuteri_JCM_1112
GCF_000010025.1_ASM1002v1	Proteobacteria	Gammaproteobacteria	Xanthomonas	oryzae_pv._oryzae_MAFF_311018
GCF_000010045.1_ASM1004v1	Terrabacteria group	Firmicutes	Desulfitobacterium	hafniense_Y51
GCF_000010065.1_ASM1006v1	Terrabacteria group	Cyanobacteria/Melainabacteria group	Synechococcus	elongatus_PCC_6301
GCF_000010085.1_ASM1008v1	Proteobacteria	Gammaproteobacteria	Sodalis	glossinidius_str._'morsitans'
GCF_000010105.1_ASM1010v1	Terrabacteria group	Actinobacteria	Rhodococcus	erythropolis_PR4
GCF_000010125.1_ASM1012v1	Terrabacteria group	Firmicutes	Staphylococcus	saprophyticus_subsp._saprophyticus_ATCC_15305_=_NCTC_7292
GCF_000010145.1_ASM1014v1	Terrabacteria group	Firmicutes	Lactobacillus	fermentum_IFO_3956
GCF_000010165.1_ASM1016v1	Terrabacteria group	Firmicutes	Brevibacillus	brevis_NBRC_100599
GCF_000010185.1_ASM1018v1	Terrabacteria group	Firmicutes	Finegoldia	magna_ATCC_29328
GCF_000010205.1_ASM1020v1	Proteobacteria	Alphaproteobacteria	Orientia	tsutsugamushi_str._Ikeda
GCF_000010225.1_ASM1022v1	Terrabacteria group	Actinobacteria	Corynebacterium	glutamicum_R
GCF_000010245.2_ASM1024v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli_str._K-12_substr._W3110
GCF_000010265.1_ASM1026v1	Terrabacteria group	Firmicutes	Clostridium	kluyveri_NBRC_12016
GCF_000010285.1_ASM1028v1	Terrabacteria group	Actinobacteria	Kocuria	rhizophila_DC2201
GCF_000010305.1_ASM1030v1	FCB group	Gemmatimonadetes	Gemmatimonas	aurantiaca_T-27
GCF_000010325.1_ASM1032v1	Proteobacteria	delta/epsilon subdivisions	Nitratiruptor	sp._SB155-2
GCF_000010345.1_ASM1034v1	Proteobacteria	delta/epsilon subdivisions	Sulfurovum	sp._NBC37-1
GCF_000010365.1_ASM1036v1	Proteobacteria	Gammaproteobacteria	Candidatus	Carsonella_ruddii_PV
GCF_000010385.1_ASM1038v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli_SE11
GCF_000010405.1_ASM1040v1	Proteobacteria	Gammaproteobacteria	Candidatus	Vesicomyosocius_okutanii
GCF_000010425.1_ASM1042v1	Terrabacteria group	Actinobacteria	Bifidobacterium	adolescentis_ATCC_15703
GCF_000010445.1_ASM1044v1	Terrabacteria group	Firmicutes	Staphylococcus	aureus_subsp._aureus_Mu3
GCF_000010465.1_ASM1046v1	Terrabacteria group	Firmicutes	Staphylococcus	aureus_subsp._aureus_str._Newman
GCF_000010485.1_ASM1048v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli_SE15
GCF_000010505.1_ASM1050v1	FCB group	Bacteroidetes/Chlorobi group	Porphyromonas	gingivalis_ATCC_33277
GCF_000010525.1_ASM1052v1	Proteobacteria	Alphaproteobacteria	Azorhizobium	caulinodans_ORS_571
GCF_000010545.1_ASM1054v1	Proteobacteria	Betaproteobacteria	Burkholderia	multivorans_ATCC_17616
GCF_000010585.1_ASM1058v1	Terrabacteria group	Firmicutes	Macrococcus	caseolyticus_JCSC5402
GCF_000010605.1_ASM1060v1	Terrabacteria group	Actinobacteria	Streptomyces	griseus_subsp._griseus_NBRC_13350
GCF_000010625.1_ASM1062v1	Terrabacteria group	Cyanobacteria/Melainabacteria group	Microcystis	aeruginosa_NIES-843
GCF_000010645.1_ASM1064v1	FCB group	Bacteroidetes/Chlorobi group	Candidatus	Azobacteroides_pseudotrichonymphae_genomovar._CFP2
GCF_000010665.1_ASM1066v1	Proteobacteria	delta/epsilon subdivisions	Desulfovibrio	magneticus_RS-1
GCF_000010685.1_ASM1068v1	Terrabacteria group	Actinobacteria	Mycobacterium	tuberculosis_variant_bovis_BCG_str._Tokyo_172
GCF_000010705.1_ASM1070v1	Terrabacteria group	Firmicutes	Streptococcus	dysgalactiae_subsp._equisimilis_GGS_124
GCF_000010725.1_ASM1072v1	Proteobacteria	Alphaproteobacteria	Azospirillum	sp._B510
GCF_000010745.1_ASM1074v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli_O103:H2_str._12009
GCF_000010765.1_ASM1076v1	Proteobacteria	Gammaproteobacteria	Escherichia	coli_O111:H-_str._11128
GCF_000010785.1_ASM1078v1	Aquificae	Aquificae	Hydrogenobacter	thermophilus_TK-6
GCF_000010805.1_ASM1080v1	Terrabacteria group	Actinobacteria	Rhodococcus	opacus_B4
GCF_000010825.1_ASM1082v1	Proteobacteria	Alphaproteobacteria	Acetobacter	pasteurianus_IFO_3283-01
GCF_000010845.1_ASM1084v1	Proteobacteria	Alphaproteobacteria	Acetobacter	pasteurianus_IFO_3283-03
GCF_000010865.1_ASM1086v1	Proteobacteria	Alphaproteobacteria	Acetobacter	pasteurianus_IFO_3283-07
GCF_000010885.1_ASM1088v1	Proteobacteria	Alphaproteobacteria	Acetobacter	pasteurianus_IFO_3283-22
GCF_000010905.1_ASM1090v1	Proteobacteria	Alphaproteobacteria	Acetobacter	pasteurianus_IFO_3283-26
GCF_000010925.1_ASM1092v1	Proteobacteria	Alphaproteobacteria	Acetobacter	pasteurianus_IFO_3283-32
GCF_000010945.1_ASM1094v1	Proteobacteria	Alphaproteobacteria	Acetobacter	pasteurianus_IFO_3283-01-42C
GCF_000010965.1_ASM1096v1	Proteobacteria	Alphaproteobacteria	Acetobacter	pasteurianus_IFO_3283-12
GCF_000010985.1_ASM1098v1	Deferribacteres	Deferribacteres	Deferribacter	desulfuricans_SSM1
GCF_000011025.1_ASM1102v1	Terrabacteria group	Actinobacteria	Rothia	mucilaginosa_DY-18
GCF_000011045.1_ASM1104v1	Terrabacteria group	Firmicutes	Lactobacillus	rhamnosus_GG
GCF_000011065.1_ASM1106v1	FCB group	Bacteroidetes/Chlorobi group	Bacteroides	thetaiotaomicron_VPI-5482
GCF_000304375.1_AINO	Proteobacteria	delta/epsilon subdivisions	Campylobacter	jejuni_subsp._jejuni_NCTC_11168-BN148
GCF_000011145.1_ASM1114v1	Terrabacteria group	Firmicutes	Bacillus	halodurans_C-125
GCF_000011165.1_ASM1116v1	PVC group	Chlamydiae	Chlamydia	pneumoniae_J138
GCF_000011225.1_ASM1122v1	Terrabacteria group	Tenericutes	Mycoplasma	penetrans_HF-2
GCF_000011245.1_ASM1124v1	Terrabacteria group	Firmicutes	Oceanobacillus	iheyensis_HTE831
GCF_000011265.1_ASM1126v1	Terrabacteria group	Firmicutes	Staphylococcus	aureus_subsp._aureus_MW2
GCF_000011285.1_ASM1128v1	Terrabacteria group	Firmicutes	Streptococcus	pyogenes_SSI-1
GCF_000011305.1_ASM1130v1	Terrabacteria group	Actinobacteria	Corynebacterium	efficiens_YS-314
GCF_000011325.1_ASM1132v1	Terrabacteria group	Actinobacteria	Corynebacterium	glutamicum_ATCC_13032
GCF_000011345.1_ASM1134v1	Terrabacteria group	Cyanobacteria/Melainabacteria group	Thermosynechococcus	elongatus_BP-1
GCF_000011365.1_ASM1136v1	Proteobacteria	Alphaproteobacteria	Bradyrhizobium	diazoefficiens_USDA_110
GCF_000011385.1_ASM1138v1	Terrabacteria group	Cyanobacteria/Melainabacteria group	Gloeobacter	violaceus_PCC_7421
GCF_000011405.1_ASM1140v1	Proteobacteria	Gammaproteobacteria	Francisella	tularensis_subsp._holarctica_OSU18
GCF_000011465.1_ASM1146v1	Terrabacteria group	Cyanobacteria/Melainabacteria group	Prochlorococcus	marinus_subsp._pastoris_str._CCMP1986
GCF_000011485.1_ASM1148v1	Terrabacteria group	Cyanobacteria/Melainabacteria group	Prochlorococcus	marinus_str._MIT_9313
GCF_000011505.1_ASM1150v1	Terrabacteria group	Firmicutes	Staphylococcus	aureus_subsp._aureus_MRSA252
GCF_000011525.1_ASM1152v1	Terrabacteria group	Firmicutes	Staphylococcus	aureus_subsp._aureus_MSSA476
GCF_000011545.1_ASM1154v1	Proteobacteria	Betaproteobacteria	Burkholderia	pseudomallei_K96243
GCF_000011605.1_ASM1160v1	Proteobacteria	Gammaproteobacteria	Pectobacterium	atrosepticum_SCRI1043
GCF_000011625.1_ASM1162v1	Terrabacteria group	Firmicutes	Bacillus	cereus_E33L
GCF_000011645.1_ASM1164v1	Terrabacteria group	Firmicutes	Bacillus	licheniformis_DSM_13_=_ATCC_14580
GCF_000011665.1_ASM1166v1	Terrabacteria group	Firmicutes	Streptococcus	pyogenes_MGAS10394
GCF_000011685.1_ASM1168v1	Proteobacteria	Alphaproteobacteria	Gluconobacter	oxydans_621H
GCF_000011705.1_ASM1170v1	Proteobacteria	Betaproteobacteria	Burkholderia	mallei_ATCC_23344
GCF_000011725.1_ASM1172v1	Proteobacteria	delta/epsilon subdivisions	Helicobacter	pylori_51
GCF_000011745.1_ASM1174v1	Proteobacteria	Gammaproteobacteria	Candidatus	Blochmannia_pennsylvanicus_str._BPEN
GCF_000011765.3_ASM1176v2	Terrabacteria group	Firmicutes	Streptococcus	pyogenes_MGAS5005
GCF_000011785.1_ASM1178v1	Proteobacteria	Gammaproteobacteria	Histophilus	somni_129PT
GCF_000011805.1_ASM1180v1	Proteobacteria	Gammaproteobacteria	Aliivibrio	fischeri_ES114
GCF_000011825.1_ASM1182v1	Terrabacteria group	Firmicutes	Streptococcus	thermophilus_LMG_18311
GCF_000011845.1_ASM1184v1	Terrabacteria group	Firmicutes	Streptococcus	thermophilus_CNRZ1066
GCF_000011865.1_ASM1186v1	Proteobacteria	delta/epsilon subdivisions	Campylobacter	jejuni_RM1221
GCF_000011885.1_ASM1188v1	Proteobacteria	Gammaproteobacteria	Salmonella	enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC_9150
GCF_000011905.1_ASM1190v1	Terrabacteria group	Chloroflexi	Dehalococcoides	mccartyi_195
GCF_000011925.1_ASM1192v1	Terrabacteria group	Firmicutes	Staphylococcus	epidermidis_RP62A
GCF_000011945.1_ASM1194v1	Proteobacteria	Alphaproteobacteria	Anaplasma	marginale_str._St._Maries
GCF_000011965.2_ASM1196v2	Proteobacteria	Alphaproteobacteria	Ruegeria	pomeroyi_DSS-3
GCF_000011985.1_ASM1198v1	Terrabacteria group	Firmicutes	Lactobacillus	acidophilus_NCFM
GCF_000012005.1_ASM1200v1	Proteobacteria	Gammaproteobacteria	Shigella	dysenteriae_Sd197
GCF_000012045.1_ASM1204v1	Terrabacteria group	Firmicutes	Staphylococcus	aureus_subsp._aureus_COL
GCF_000012085.2_ASM1208v2	Spirochaetes	Spirochaetia	Borrelia	turicatae_91E135
GCF_000012105.1_ASM1210v1	Proteobacteria	Gammaproteobacteria	Xanthomonas	campestris_pv._campestris_str._8004
GCF_000012125.1_ASM1212v1	PVC group	Chlamydiae	Chlamydia	trachomatis_A/HAR-13
GCF_000012145.1_ASM1214v1	Proteobacteria	Alphaproteobacteria	Rickettsia	felis_URRWXCal2
GCF_000012185.1_ASM1218v1	Proteobacteria	Gammaproteobacteria	Haemophilus	influenzae_86-028NP
GCF_000012205.1_ASM1220v1	Proteobacteria	Gammaproteobacteria	Pseudomonas	savastanoi_pv._phaseolicola_1448A
GCF_000012225.1_ASM1222v1	Terrabacteria group	Tenericutes	Aster	yellows_witches'-broom_phytoplasma_AYWB
