,group,subgroup,genus,species_strain,group_id,subgroup_id,genus_id,species_strain_id
GCF_000007365.1,Proteobacteria,Gammaproteobacteria,Buchnera,aphidicola_str._Sg_(Schizaphis_graminum),16,25,152,370
GCF_000007425.1,Terrabacteria group,Firmicutes,Streptococcus,pyogenes_MGAS315,20,23,921,3831
GCF_000007445.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli_CFT073,16,25,316,1049
GCF_000007465.2,Terrabacteria group,Firmicutes,Streptococcus,mutans_UA159,20,23,921,2999
GCF_000007485.1,Terrabacteria group,Actinobacteria,Tropheryma,whipplei_str._Twist,20,2,1013,5789
GCF_000007505.1,Proteobacteria,Alphaproteobacteria,Brucella,suis_1330,16,3,151,5243
GCF_000007525.1,Terrabacteria group,Actinobacteria,Bifidobacterium,longum_NCC2705,20,2,129,2574
GCF_000007545.1,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Typhi_str._Ty2,16,25,856,1626
GCF_000007565.2,Proteobacteria,Gammaproteobacteria,Pseudomonas,putida_KT2440,16,25,776,3738
GCF_000007585.1,FCB group,Bacteroidetes/Chlorobi group,Porphyromonas,gingivalis_W83,11,6,756,2000
GCF_000007605.1,PVC group,Chlamydiae,Chlamydia,caviae_GPIC,15,11,187,856
GCF_000007625.1,Terrabacteria group,Firmicutes,Clostridium,tetani_E88,20,23,207,5355
GCF_000007645.1,Terrabacteria group,Firmicutes,Staphylococcus,epidermidis_ATCC_12228,20,23,912,1684
GCF_000007665.1,Terrabacteria group,Actinobacteria,Leifsonia,xyli_subsp._xyli_str._CTCB07,20,2,497,5816
GCF_000007685.1,Spirochaetes,Spirochaetia,Leptospira,interrogans_serovar_Copenhageni_str._Fiocruz_L1-130,17,34,504,2323
GCF_000007705.1,Proteobacteria,Betaproteobacteria,Chromobacterium,violaceum_ATCC_12472,16,7,196,5738
GCF_000007725.1,Proteobacteria,Gammaproteobacteria,Buchnera,aphidicola_str._Bp_(Baizongia_pistaciae),16,25,152,364
GCF_000007765.2,Proteobacteria,Gammaproteobacteria,Coxiella,burnetii_RSA_493,16,25,223,743
GCF_000007785.1,Terrabacteria group,Firmicutes,Enterococcus,faecalis_V583,20,23,309,1746
GCF_000007805.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,syringae_pv._tomato_str._DC3000,16,25,776,5312
GCF_000007825.1,Terrabacteria group,Firmicutes,Bacillus,cereus_ATCC_14579,20,23,113,889
GCF_000007845.1,Terrabacteria group,Firmicutes,Bacillus,anthracis_str._Ames,20,23,113,339
GCF_000007865.1,Terrabacteria group,Actinobacteria,Mycobacterium,avium_subsp._paratuberculosis_K-10,20,2,613,534
GCF_000007885.1,Proteobacteria,Gammaproteobacteria,Yersinia,pestis_biovar_Microtus_str._91001,16,25,1052,3345
GCF_000007905.1,Proteobacteria,delta/epsilon subdivisions,Helicobacter,hepaticus_ATCC_51449,16,43,418,2150
GCF_000007925.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Prochlorococcus,marinus_subsp._marinus_str._CCMP1375,20,15,760,2678
GCF_000007985.2,Proteobacteria,delta/epsilon subdivisions,Geobacter,sulfurreducens_PCA,16,43,368,5278
GCF_000008005.1,Terrabacteria group,Firmicutes,Bacillus,cereus_ATCC_10987,20,23,113,888
GCF_000008025.1,Proteobacteria,Alphaproteobacteria,Wolbachia,endosymbiont_of_Drosophila_melanogaster,16,3,1043,1394
GCF_000008045.1,Proteobacteria,Alphaproteobacteria,Rickettsia,typhi_str._Wilmington,16,3,813,5620
GCF_000008065.1,Terrabacteria group,Firmicutes,Lactobacillus,johnsonii_NCC_533,20,23,487,2404
GCF_000008105.1,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Choleraesuis_str._SC-B67,16,25,856,1458
GCF_000008125.1,Terrabacteria group,Deinococcus-Thermus,Thermus,thermophilus_HB27,20,18,995,5403
GCF_000008145.1,Proteobacteria,Alphaproteobacteria,Brucella,abortus_bv._1_str._9-941,16,3,151,9
GCF_000008165.1,Terrabacteria group,Firmicutes,Bacillus,anthracis_str._Sterne,20,23,113,343
GCF_000008185.1,Spirochaetes,Spirochaetia,Treponema,denticola_ATCC_35405,17,34,1010,1279
GCF_000008205.1,Terrabacteria group,Tenericutes,Mycoplasma,hyopneumoniae_J,20,36,617,2247
GCF_000008225.1,Terrabacteria group,Tenericutes,Mycoplasma,hyopneumoniae_7448,20,36,617,2246
GCF_000008245.1,Terrabacteria group,Tenericutes,Mycoplasma,synoviae_53,20,36,617,5290
GCF_000008285.1,Terrabacteria group,Firmicutes,Listeria,monocytogenes_serotype_4b_str._F2365,20,23,515,2933
GCF_000008305.1,Terrabacteria group,Tenericutes,Mesoplasma,florum_L1,20,36,557,1839
GCF_000008325.1,Proteobacteria,Gammaproteobacteria,Methylococcus,capsulatus_str._Bath,16,25,568,818
GCF_000008345.1,Terrabacteria group,Actinobacteria,Cutibacterium,acnes_KPA171202,20,2,233,65
GCF_000008365.1,Terrabacteria group,Tenericutes,Mycoplasma,mobile_163K,20,36,617,2844
GCF_000008385.1,Proteobacteria,Alphaproteobacteria,Wolbachia,endosymbiont_strain_TRS_of_Brugia_malayi,16,3,1043,1403
GCF_000008405.1,Terrabacteria group,Tenericutes,Mycoplasma,hyopneumoniae_232,20,36,617,2244
GCF_000008425.1,Terrabacteria group,Firmicutes,Bacillus,licheniformis_DSM_13_=_ATCC_14580,20,23,113,2537
GCF_000008445.1,Terrabacteria group,Firmicutes,Bacillus,anthracis_str._'Ames_Ancestor',20,23,113,335
GCF_000008465.1,Proteobacteria,Gammaproteobacteria,Idiomarina,loihiensis_L2TR,16,25,439,2569
GCF_000008485.1,Proteobacteria,Gammaproteobacteria,Legionella,pneumophila_subsp._pneumophila_str._Philadelphia_1,16,25,496,3536
GCF_000008525.1,Proteobacteria,delta/epsilon subdivisions,Helicobacter,pylori_26695,16,43,418,3755
GCF_000008545.1,Thermotogae,Thermotogae,Thermotoga,maritima_MSB8,22,38,992,2688
GCF_000008565.1,Terrabacteria group,Deinococcus-Thermus,Deinococcus,radiodurans_R1,20,18,250,3862
GCF_000008585.1,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis_CDC1551,20,2,613,5551
GCF_000008625.1,Aquificae,Aquificae,Aquifex,aeolicus_VF5,1,4,84,87
GCF_000008685.2,Spirochaetes,Spirochaetia,Borreliella,burgdorferi_B31,17,34,138,732
GCF_000008725.1,PVC group,Chlamydiae,Chlamydia,trachomatis_D/UW-3/CX,15,11,187,5478
GCF_000008745.1,PVC group,Chlamydiae,Chlamydia,pneumoniae_CWL029,15,11,187,3472
GCF_000008765.1,Terrabacteria group,Firmicutes,Clostridium,acetobutylicum_ATCC_824,20,23,207,29
GCF_000008785.1,Proteobacteria,delta/epsilon subdivisions,Helicobacter,pylori_J99,16,43,418,3782
GCF_000008805.1,Proteobacteria,Betaproteobacteria,Neisseria,meningitidis_MC58,16,7,624,2781
GCF_000008865.2,Proteobacteria,Gammaproteobacteria,Escherichia,coli_O157:H7_str._Sakai,16,25,316,1100
GCF_000008885.1,Proteobacteria,Gammaproteobacteria,Wigglesworthia,glossinidia_endosymbiont_of_Glossina_brevipalpis,16,25,1040,2017
GCF_000008925.1,Terrabacteria group,Firmicutes,Lactobacillus,salivarius_UCC118,20,23,487,4008
GCF_000008945.1,Terrabacteria group,Actinobacteria,Bifidobacterium,longum_DJO10A,20,2,129,2573
GCF_000008985.1,Proteobacteria,Gammaproteobacteria,Francisella,tularensis_subsp._tularensis_SCHU_S4,16,25,348,5598
GCF_000009005.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_RF122,20,23,912,464
GCF_000009025.1,Terrabacteria group,Chloroflexi,Dehalococcoides,mccartyi_CBDB1,20,12,248,2704
GCF_000009045.1,Terrabacteria group,Firmicutes,Bacillus,subtilis_subsp._subtilis_str._168,20,23,113,5224
GCF_000009065.1,Proteobacteria,Gammaproteobacteria,Yersinia,pestis_CO92,16,25,1052,3336
GCF_000009085.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819,16,43,165,2391
GCF_000009105.1,Proteobacteria,Betaproteobacteria,Neisseria,meningitidis_Z2491,16,7,624,2784
GCF_000009125.1,Proteobacteria,Betaproteobacteria,Ralstonia,solanacearum_GMI1000,16,7,790,4111
GCF_000009145.1,Proteobacteria,Betaproteobacteria,Nitrosomonas,europaea_ATCC_19718,16,7,638,1725
GCF_000009165.1,Proteobacteria,Gammaproteobacteria,Xanthomonas,campestris_pv._vesicatoria_str._85-10,16,25,1046,789
GCF_000009205.2,Terrabacteria group,Firmicutes,Clostridioides,difficile_630,20,23,206,1307
GCF_000009225.2,Proteobacteria,Gammaproteobacteria,Pseudomonas,fluorescens_SBW25,16,25,776,1846
GCF_000009245.1,Proteobacteria,Gammaproteobacteria,Francisella,tularensis_subsp._holarctica_LVS,16,25,348,5585
GCF_000009265.1,Proteobacteria,Alphaproteobacteria,Rhizobium,leguminosarum_bv._viciae_3841,16,3,798,2520
GCF_000009285.1,Proteobacteria,Betaproteobacteria,Cupriavidus,necator_H16,16,7,231,3028
GCF_000009305.1,Proteobacteria,delta/epsilon subdivisions,Helicobacter,acinonychis_str._Sheeba,16,43,418,59
GCF_000009325.1,Proteobacteria,Gammaproteobacteria,Francisella,tularensis_subsp._tularensis_FSC198,16,25,348,5595
GCF_000009345.1,Proteobacteria,Gammaproteobacteria,Yersinia,enterocolitica_subsp._enterocolitica_8081,16,25,1052,1674
GCF_000009365.1,Proteobacteria,Gammaproteobacteria,Alcanivorax,borkumensis_SK2,16,25,46,653
GCF_000009385.1,Terrabacteria group,Firmicutes,Streptococcus,pyogenes_str._Manfredo,20,23,921,3839
GCF_000009405.1,Terrabacteria group,Firmicutes,Staphylococcus,carnosus_subsp._carnosus_TM300,20,23,912,830
GCF_000009425.1,Terrabacteria group,Firmicutes,Lactococcus,lactis_subsp._cremoris_MG1363,20,23,488,2467
GCF_000009445.1,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis_variant_bovis_BCG_str._Pasteur_1173P2,20,2,613,5577
GCF_000009465.1,Proteobacteria,Betaproteobacteria,Neisseria,meningitidis_FAM18,16,7,624,2772
GCF_000009485.1,Proteobacteria,Betaproteobacteria,Burkholderia,cenocepacia_J2315,16,7,153,874
GCF_000009505.1,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Enteritidis_str._P125109,16,25,856,1497
GCF_000009525.1,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Gallinarum_str._287/91,16,25,856,1512
GCF_000009545.1,Terrabacteria group,Firmicutes,Streptococcus,uberis_0140J,20,23,921,5625
GCF_000009565.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli_BL21(DE3),16,25,316,1044
GCF_000009585.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_subsp._aureus_ST398,20,23,912,493
GCF_000009605.1,Proteobacteria,Gammaproteobacteria,Buchnera,aphidicola_str._APS_(Acyrthosiphon_pisum),16,25,152,362
GCF_000009625.1,Proteobacteria,Alphaproteobacteria,Mesorhizobium,japonicum_MAFF_303099,16,3,558,2360
GCF_000009645.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_subsp._aureus_N315,20,23,912,487
GCF_000009665.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_subsp._aureus_Mu50,20,23,912,486
GCF_000009685.1,Terrabacteria group,Firmicutes,Clostridium,perfringens_str._13,20,23,207,3312
GCF_000009705.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Nostoc,sp._PCC_7120_=_FACHB-418,20,15,649,4821
GCF_000009725.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Synechocystis,sp._PCC_6803,20,15,943,4811
GCF_000009745.1,Proteobacteria,Gammaproteobacteria,Vibrio,vulnificus_YJ016,16,25,1031,5773
GCF_000009765.2,Terrabacteria group,Actinobacteria,Streptomyces,avermitilis_MA-4680_=_NBRC_14893,20,2,923,523
GCF_000009785.1,Terrabacteria group,Firmicutes,Geobacillus,kaustophilus_HTA426,20,23,367,2415
GCF_000009805.1,Terrabacteria group,Actinobacteria,Nocardia,farcinica_IFM_10152,20,2,643,1762
GCF_000009825.1,Terrabacteria group,Firmicutes,Bacillus,clausii_KSM-K16,20,23,113,1002
GCF_000009845.1,Tenericutes,Mollicutes,Onion_yellows_phytoplasma,OY-M,19,29,670,0
GCF_000009865.1,Terrabacteria group,Firmicutes,Staphylococcus,haemolyticus_JCSC1435,20,23,912,2093
GCF_000009885.1,Proteobacteria,Gammaproteobacteria,Klebsiella,pneumoniae_subsp._pneumoniae_NTUH-K2044,16,25,465,3524
GCF_000009905.1,Terrabacteria group,Firmicutes,Symbiobacterium,thermophilum_IAM_14863,20,23,941,5397
GCF_000009925.1,FCB group,Bacteroidetes/Chlorobi group,Bacteroides,fragilis_YCH46,11,6,116,1874
GCF_000009945.1,PVC group,Chlamydiae,Chlamydia,felis_Fe/C-56,15,11,187,1776
GCF_000009985.1,Proteobacteria,Alphaproteobacteria,Magnetospirillum,magneticum_AMB-1,16,3,529,2622
GCF_000010005.1,Terrabacteria group,Firmicutes,Lactobacillus,reuteri_JCM_1112,20,23,487,3888
GCF_000010025.1,Proteobacteria,Gammaproteobacteria,Xanthomonas,oryzae_pv._oryzae_MAFF_311018,16,25,1046,3154
GCF_000010045.1,Terrabacteria group,Firmicutes,Desulfitobacterium,hafniense_Y51,20,23,260,2096
GCF_000010065.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Synechococcus,elongatus_PCC_6301,20,15,942,1382
GCF_000010085.1,Proteobacteria,Gammaproteobacteria,Sodalis,glossinidius_str._'morsitans',16,25,890,2019
GCF_000010105.1,Terrabacteria group,Actinobacteria,Rhodococcus,erythropolis_PR4,20,2,803,1711
GCF_000010125.1,Terrabacteria group,Firmicutes,Staphylococcus,saprophyticus_subsp._saprophyticus_ATCC_15305_=_NCTC_7292,20,23,912,4037
GCF_000010145.1,Terrabacteria group,Firmicutes,Lactobacillus,fermentum_IFO_3956,20,23,487,1789
GCF_000010165.1,Terrabacteria group,Firmicutes,Brevibacillus,brevis_NBRC_100599,20,23,147,713
GCF_000010185.1,Terrabacteria group,Firmicutes,Finegoldia,magna_ATCC_29328,20,23,336,2621
GCF_000010205.1,Proteobacteria,Alphaproteobacteria,Orientia,tsutsugamushi_str._Ikeda,16,3,672,5543
GCF_000010225.1,Terrabacteria group,Actinobacteria,Corynebacterium,glutamicum_R,20,2,222,2028
GCF_000010245.2,Proteobacteria,Gammaproteobacteria,Escherichia,coli_str._K-12_substr._W3110,16,25,316,1140
GCF_000010265.1,Terrabacteria group,Firmicutes,Clostridium,kluyveri_NBRC_12016,20,23,207,2430
GCF_000010285.1,Terrabacteria group,Actinobacteria,Kocuria,rhizophila_DC2201,20,2,467,3905
GCF_000010305.1,FCB group,Gemmatimonadetes,Gemmatimonas,aurantiaca_T-27,11,26,363,453
GCF_000010325.1,Proteobacteria,delta/epsilon subdivisions,Nitratiruptor,sp._SB155-2,16,43,635,4914
GCF_000010345.1,Proteobacteria,delta/epsilon subdivisions,Sulfurovum,sp._NBC37-1,16,43,939,4725
GCF_000010385.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli_SE11,16,25,316,1125
GCF_000010425.1,Terrabacteria group,Actinobacteria,Bifidobacterium,adolescentis_ATCC_15703,20,2,129,85
GCF_000010445.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_subsp._aureus_Mu3,20,23,912,485
GCF_000010465.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_subsp._aureus_str._Newman,20,23,912,504
GCF_000010485.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli_SE15,16,25,316,1126
GCF_000010505.1,FCB group,Bacteroidetes/Chlorobi group,Porphyromonas,gingivalis_ATCC_33277,11,6,756,1998
GCF_000010525.1,Proteobacteria,Alphaproteobacteria,Azorhizobium,caulinodans_ORS_571,16,3,109,853
GCF_000010545.1,Proteobacteria,Betaproteobacteria,Burkholderia,multivorans_ATCC_17616,16,7,153,2962
GCF_000010585.1,Terrabacteria group,Firmicutes,Macrococcus,caseolyticus_JCSC5402,20,23,525,841
GCF_000010605.1,Terrabacteria group,Actinobacteria,Streptomyces,griseus_subsp._griseus_NBRC_13350,20,2,923,2063
GCF_000010625.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Microcystis,aeruginosa_NIES-843,20,15,588,111
GCF_000010665.1,Proteobacteria,delta/epsilon subdivisions,Desulfovibrio,magneticus_RS-1,16,43,275,2623
GCF_000010685.1,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis_variant_bovis_BCG_str._Tokyo_172,20,2,613,5578
GCF_000010705.1,Terrabacteria group,Firmicutes,Streptococcus,dysgalactiae_subsp._equisimilis_GGS_124,20,23,921,1365
GCF_000010725.1,Proteobacteria,Alphaproteobacteria,Azospirillum,sp._B510,16,3,111,4287
GCF_000010745.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli_O103:H2_str._12009,16,25,316,1071
GCF_000010765.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli_O111:H-_str._11128,16,25,316,1079
GCF_000010785.1,Aquificae,Aquificae,Hydrogenobacter,thermophilus_TK-6,1,4,430,5413
GCF_000010805.1,Terrabacteria group,Actinobacteria,Rhodococcus,opacus_B4,20,2,803,3130
GCF_000010825.1,Proteobacteria,Alphaproteobacteria,Acetobacter,pasteurianus_IFO_3283-01,16,3,2,3272
GCF_000010845.1,Proteobacteria,Alphaproteobacteria,Acetobacter,pasteurianus_IFO_3283-03,16,3,2,3274
GCF_000010865.1,Proteobacteria,Alphaproteobacteria,Acetobacter,pasteurianus_IFO_3283-07,16,3,2,3275
GCF_000010885.1,Proteobacteria,Alphaproteobacteria,Acetobacter,pasteurianus_IFO_3283-22,16,3,2,3277
GCF_000010905.1,Proteobacteria,Alphaproteobacteria,Acetobacter,pasteurianus_IFO_3283-26,16,3,2,3278
GCF_000010925.1,Proteobacteria,Alphaproteobacteria,Acetobacter,pasteurianus_IFO_3283-32,16,3,2,3279
GCF_000010945.1,Proteobacteria,Alphaproteobacteria,Acetobacter,pasteurianus_IFO_3283-01-42C,16,3,2,3273
GCF_000010965.1,Proteobacteria,Alphaproteobacteria,Acetobacter,pasteurianus_IFO_3283-12,16,3,2,3276
GCF_000010985.1,Deferribacteres,Deferribacteres,Deferribacter,desulfuricans_SSM1,8,17,243,1292
GCF_000011025.1,Terrabacteria group,Actinobacteria,Rothia,mucilaginosa_DY-18,20,2,825,2948
GCF_000011045.1,Terrabacteria group,Firmicutes,Lactobacillus,rhamnosus_GG,20,23,487,3894
GCF_000011065.1,FCB group,Bacteroidetes/Chlorobi group,Bacteroides,thetaiotaomicron_VPI-5482,11,6,116,5424
GCF_000304375.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,jejuni_subsp._jejuni_NCTC_11168-BN148,16,43,165,2385
GCF_000011145.1,Terrabacteria group,Firmicutes,Bacillus,halodurans_C-125,20,23,113,2106
GCF_000011165.1,PVC group,Chlamydiae,Chlamydia,pneumoniae_J138,15,11,187,3481
GCF_000011225.1,Terrabacteria group,Tenericutes,Mycoplasma,penetrans_HF-2,20,36,617,3298
GCF_000011245.1,Terrabacteria group,Firmicutes,Oceanobacillus,iheyensis_HTE831,20,23,659,2264
GCF_000011265.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_subsp._aureus_MW2,20,23,912,484
GCF_000011285.1,Terrabacteria group,Firmicutes,Streptococcus,pyogenes_SSI-1,20,23,921,3836
GCF_000011305.1,Terrabacteria group,Actinobacteria,Corynebacterium,efficiens_YS-314,20,2,222,1370
GCF_000011325.1,Terrabacteria group,Actinobacteria,Corynebacterium,glutamicum_ATCC_13032,20,2,222,2024
GCF_000011345.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Thermosynechococcus,elongatus_BP-1,20,15,991,1381
GCF_000011365.1,Proteobacteria,Alphaproteobacteria,Bradyrhizobium,diazoefficiens_USDA_110,16,3,143,1299
GCF_000011385.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Gloeobacter,violaceus_PCC_7421,20,15,378,5739
GCF_000011405.1,Proteobacteria,Gammaproteobacteria,Francisella,tularensis_subsp._holarctica_OSU18,16,25,348,5586
GCF_000011445.1,Terrabacteria group,Tenericutes,Mycoplasma,mycoides_subsp._mycoides_SC_str._PG1,20,36,617,3009
GCF_000011465.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Prochlorococcus,marinus_subsp._pastoris_str._CCMP1986,20,15,760,2679
GCF_000011485.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Prochlorococcus,marinus_str._MIT_9313,20,15,760,2674
GCF_000011505.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_subsp._aureus_MRSA252,20,23,912,482
GCF_000011525.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_subsp._aureus_MSSA476,20,23,912,483
GCF_000011545.1,Proteobacteria,Betaproteobacteria,Burkholderia,pseudomallei_K96243,16,7,153,3643
GCF_000011605.1,Proteobacteria,Gammaproteobacteria,Pectobacterium,atrosepticum_SCRI1043,16,25,711,446
GCF_000011625.1,Terrabacteria group,Firmicutes,Bacillus,cereus_E33L,20,23,113,894
GCF_000011645.1,Terrabacteria group,Firmicutes,Bacillus,licheniformis_DSM_13_=_ATCC_14580,20,23,113,2537
GCF_000011665.1,Terrabacteria group,Firmicutes,Streptococcus,pyogenes_MGAS10394,20,23,921,3827
GCF_000011685.1,Proteobacteria,Alphaproteobacteria,Gluconobacter,oxydans_621H,16,3,382,3177
GCF_000011705.1,Proteobacteria,Betaproteobacteria,Burkholderia,mallei_ATCC_23344,16,7,153,2628
GCF_000011725.1,Proteobacteria,delta/epsilon subdivisions,Helicobacter,pylori_51,16,43,418,3760
GCF_000011765.3,Terrabacteria group,Firmicutes,Streptococcus,pyogenes_MGAS5005,20,23,921,3832
GCF_000011785.1,Proteobacteria,Gammaproteobacteria,Histophilus,somni_129PT,16,25,425,4123
GCF_000011805.1,Proteobacteria,Gammaproteobacteria,Aliivibrio,fischeri_ES114,16,25,51,1820
GCF_000011825.1,Terrabacteria group,Firmicutes,Streptococcus,thermophilus_LMG_18311,20,23,921,5409
GCF_000011845.1,Terrabacteria group,Firmicutes,Streptococcus,thermophilus_CNRZ1066,20,23,921,5401
GCF_000011865.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,jejuni_RM1221,16,43,165,2372
GCF_000011885.1,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC_9150,16,25,856,1599
GCF_000011905.1,Terrabacteria group,Chloroflexi,Dehalococcoides,mccartyi_195,20,12,248,2701
GCF_000011925.1,Terrabacteria group,Firmicutes,Staphylococcus,epidermidis_RP62A,20,23,912,1686
GCF_000011945.1,Proteobacteria,Alphaproteobacteria,Anaplasma,marginale_str._St._Maries,16,3,75,2654
GCF_000011965.2,Proteobacteria,Alphaproteobacteria,Ruegeria,pomeroyi_DSS-3,16,3,829,3555
GCF_000011985.1,Terrabacteria group,Firmicutes,Lactobacillus,acidophilus_NCFM,20,23,487,56
GCF_000012005.1,Proteobacteria,Gammaproteobacteria,Shigella,dysenteriae_Sd197,16,25,874,1359
GCF_000012045.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_subsp._aureus_COL,20,23,912,471
GCF_000012085.2,Spirochaetes,Spirochaetia,Borrelia,turicatae_91E135,17,34,137,5612
GCF_000012105.1,Proteobacteria,Gammaproteobacteria,Xanthomonas,campestris_pv._campestris_str._8004,16,25,1046,780
GCF_000012125.1,PVC group,Chlamydiae,Chlamydia,trachomatis_A/HAR-13,15,11,187,5470
GCF_000012145.1,Proteobacteria,Alphaproteobacteria,Rickettsia,felis_URRWXCal2,16,3,813,1777
GCF_000012185.1,Proteobacteria,Gammaproteobacteria,Haemophilus,influenzae_86-028NP,16,25,397,2288
